o_orderkey,o_custkey,o_orderstatus,o_totalprice,o_orderdate,o_orderpriority,o_clerk,o_shippriority,o_comment,x
1,370,O,172799.49,1996-01-02,5-LOW,Clerk#000000951,0,ly express platelets. deposits acc,0
2,781,O,38426.09,1996-12-01,1-URGENT,Clerk#000000880,0,ve the furiously fluffy dependencies. carefully regular ,0
3,1234,F,205654.30,1993-10-14,5-LOW,Clerk#000000955,0, after the asymptotes. instructions cajole after the foxes. carefully unu,0
4,1369,O,56000.91,1995-10-11,5-LOW,Clerk#000000124,0,st the furiously bold pinto beans. furiously pending theodolites cajol,0
5,445,F,105367.67,1994-07-30,5-LOW,Clerk#000000925,0,onic requests. carefully daring foxes among the carefu,0
6,557,F,45523.10,1992-02-21,4-NOT SPECIFIED,Clerk#000000058,0,furiously ironic accounts haggle blithely carefully regular de,0
7,392,O,271885.66,1996-01-10,2-HIGH,Clerk#000000470,0,", ironic packages wa",0
32,1301,O,198665.57,1995-07-16,2-HIGH,Clerk#000000616,0,"ly about the carefully express theodolites. ironic, iron",0
33,670,F,146567.24,1993-10-27,3-MEDIUM,Clerk#000000409,0," careful, regular courts. unusual",0
34,611,O,73315.48,1998-07-21,3-MEDIUM,Clerk#000000223,0,osits according to the ideas are furiously final requests? slyly pe,0
35,1276,O,194641.93,1995-10-23,4-NOT SPECIFIED,Clerk#000000259,0,ing dugouts alongside of the silently ironi,0
36,1153,O,42011.04,1995-11-03,1-URGENT,Clerk#000000358,0,kages sleep after the furiously regular accounts. slyly eve,0
37,862,F,131896.49,1992-06-03,3-MEDIUM,Clerk#000000456,0,aggle carefully. fluffily ironic packages integrate slyly blit,0
38,1249,O,71553.08,1996-08-21,4-NOT SPECIFIED,Clerk#000000604,0,counts. blithely express packages cajole fluffily. fluffily regular courts na,0
39,818,O,326565.37,1996-09-20,3-MEDIUM,Clerk#000000659,0,accounts since the pending dugou,0
64,322,F,35831.73,1994-07-16,3-MEDIUM,Clerk#000000661,0,lly according to the pending dinos. carefully bold depths det,0
65,163,P,95469.44,1995-03-18,1-URGENT,Clerk#000000632,0,"ounts sleep against the regular foxes. deposits nag express, express foxes. f",0
66,1292,F,104190.66,1994-01-20,5-LOW,Clerk#000000743,0, regular ideas. evenly unusu,0
67,568,O,182481.16,1996-12-19,4-NOT SPECIFIED,Clerk#000000547,0," furiously ironic foxes play across the even, si",0
68,286,O,301968.79,1998-04-18,3-MEDIUM,Clerk#000000440,0,ess packages. ironically final accounts nag. special instructions haggle acc,0
69,845,F,204110.73,1994-06-04,4-NOT SPECIFIED,Clerk#000000330,0,ions haggle carefully about the quickly bold theodolites-- furiously final f,0
70,644,F,125705.32,1993-12-18,5-LOW,Clerk#000000322,0,ly ironic deposits mainta,0
71,34,O,260603.38,1998-01-24,4-NOT SPECIFIED,Clerk#000000271,0,uffily quiet instructions! unusual request,0
96,1078,F,64364.30,1994-04-17,2-HIGH,Clerk#000000395,0,excuses boost boldly ,0
97,211,F,100572.55,1993-01-29,3-MEDIUM,Clerk#000000547,0,structions. doggedly even dependencies are along the furiously busy hock,0
